horse_id,status,name,sire_id,dam_id,YOB,sex_x,colour,COB,equinomeID,Horse Name,bed_id,batchID,SNPChip,Year of Birth,Country Reported,sex_y
64758,1,cholesky,197,12092,2009,1,b.,IRE,JMO001_082,0,20141029_JMO001_082,20141029,SNP70,,,0
291274,1,secret sea,197,64834,2009,2,b.,IRE,JMO001_080,0,20141029_JMO001_080,20141029,SNP70,,,0
294676,1,shaleela,197,23297,2008,2,b.,IRE,JMO001_059,0,20141029_JMO001_059,20141029,SNP70,,,0
347963,1,tugboat,197,11467,2008,1,b.,IRE,JMO001_030,0,20141029_JMO001_030,20141029,SNP70,,,0
136149,1,golden ink,213,136148,2012,1,ch.,IRE,JSB001_893,0,20160202_JSB001_893,20160202,SNP670,,,0
123775,1,fort augustus,303,123774,2014,2,,,TGE001_033,Fort Augustus,20170404_TGE001_033,20170404,SNP670,2014,,1
297631,1,shiramiyna,645,297630,2008,2,b.,IRE,JMO001_044,0,20141029_JMO001_044,20141029,SNP70,,,0
172509,1,kilbirnie,1412,41896,2008,1,b.,GB,JMO001_029,0,20141029_JMO001_029,20141029,SNP70,,,0
64887,1,manntari,1467,64886,1991,1,br.,IRE,141,Manntari,20100101_141,20100101,SNP50,1991,New Zealand,2
172029,1,khazina,1677,99365,2005,2,br.,USA,JSB001_826,0,20160202_JSB001_826,20160202,SNP670,,,0
231616,1,night story,1735,192558,2015,1,b.,GB,MID001_086,Night Story,20161116_MID001_086,20161116,SNP670,2015,Great Britain,2
122331,1,focus on light,1873,122330,2012,1,,,JSB001_897,0,20160202_JSB001_897,20160202,SNP670,,,0
156430,1,imagine dragon,1873,156429,2015,1,,,JSB001_1212,Imagine Dragon,20161116_JSB001_1212,20161116,SNP670,2015,Ireland,2
306949,1,so focussed,1873,78568,2011,2,,IRE,JSB001_823,0,20160202_JSB001_823,20160202,SNP670,,,0
132399,1,gingersnap,1967,132398,2013,1,,,RNS001_012,Gingersnap,20141219_RNS001_012,20141219,SNP70,2013,Australia,2
120898,1,flight risk,2133,2843,2011,1,ch.,IRE,JSB001_929,0,20160202_JSB001_929,20160202,SNP670,,,0
320624,1,stress test,2133,230028,2012,1,b.,IRE,JSB001_904,0,20160202_JSB001_904,20160202,SNP670,,,0
286891,1,sareva,2224,286890,2008,2,b.,IRE,JMO001_049,0,20150302_JMO001_049,20150302,SNP70,,,0
122118,1,flying light,2258,122117,2012,1,b.,AUS,AMA001_011,Flying Light,20150325_AMA001_011,20150325,SNP70,2013,Australia,2
358156,1,vocal fry,2819,113551,2012,1,b.,IRE,JSB001_902,0,20160202_JSB001_902,20160202,SNP670,,,0
112622,1,famous,2958,15359,2007,2,gr.,IRE,WKS001_050,0,20160726_WKS001_050,20160726,SNP670,,,0
220963,1,mouraniya,3844,220930,2008,2,b.,IRE,JMO001_050,0,20141029_JMO001_050,20141029,SNP70,,,0
102117,1,elegant speed,4222,102116,2014,1,,,MAY001_305,Elegant Speed,20160822_MAY001_305,20160822,SNP670,2014,South Africa,2
72999,1,coroberee,4596,72998,2013,1,b.,IRE,WNF001_074,Coroberee,20160301_WNF001_074,20160301,SNP670,2013,Australia,2
239606,1,opera cloak,4705,239605,2009,2,b.,IRE,DAY001_639,0,20141224_DAY001_639,20141224,SNP70,,,0
186360,1,lidaya,5051,186359,2009,2,b.,USA,JMO001_114,0,20141029_JMO001_114,20141029,SNP70,,,0
5243,1,afraz,5226,3872,2009,1,b.,IRE,JMO001_090,0,20141029_JMO001_090,20141029,SNP70,,,0
65738,1,circle of latitude,5338,65737,2014,1,,,DRK001_193,Circle of Latitude,20150708_DRK001_193,20150708,SNP70,2014,South Africa,2
80348,1,dalsiya,5476,80347,2009,2,ch.,USA,JMO001_110,0,20141029_JMO001_110,20141029,SNP70,,,0
371084,1,yours faithfully,6176,211921,2008,2,,IRE,JMO001_066,0,20150427_JMO001_066,20150427,SNP70,,,0
76566,1,cristal groove,6513,76565,2009,2,b.,IRE,JMO001_075,0,20141029_JMO001_075,20141029,SNP70,,,0
39658,1,billyford,7464,16856,2005,1,b.,IRE,JSB001_048,Billyford,20160105_JSB001_048,20160105,SNP670,2005,Ireland,2
292725,1,september joy,7464,292724,2001,1,,IRE,819494,September Joy,20141029_819494,20141029,SNP70,2001,Ireland,2
321124,1,stringerthestinger,7464,15163,2003,1,ch.,IRE,JSB001_261,Stringerthestinger,20160105_JSB001_261,20160105,SNP670,2003,Ireland,2
363902,1,what bonus,7464,290583,2003,2,,,869797,What Bonus,20150721_869797,20150721,SNP70,2004,Ireland,1
35177,1,behana,7662,35176,2009,2,,,JMO001_105,0,20150430_JMO001_105,20150430,SNP70,,,0
371599,1,zafarqand,7662,371598,2008,1,b.,IRE,JMO001_014,0,20150430_JMO001_014,20150430,SNP70,,,0
10294,1,aliyapour,7756,10293,2008,1,b.,IRE,JMO001_023,0,20150302_JMO001_023,20150302,SNP70,,,0
98973,1,east of tara,7756,98972,2007,2,b.,IRE,JSB001_851,0,20160202_JSB001_851,20160202,SNP670,,,0
168723,1,kalaroa,7756,168657,2009,2,b.,IRE,JMO001_112,0,20150302_JMO001_112,20150302,SNP70,,,0
